Views,Duration,Likes,Comments,Category,Title_Length,Channel_Subscribers,Channel_Views,Video_Age,Average_Video_Views,Hashtag_Count,Audio_Language,Total_Videos_Posted,Channel_Size_Num,Channel_Age,Title_Sentiment,Engagement_Rate
22501522,24,264574,258,10,97,313000,159110894,863,88444.0767092829,9,63,1799,2,1730,0.0,84.6108626198083
11816779,21,613914,20487,13,49,4200000,8315076231,476,9994082.00841346,0,17,832,3,637,0.0,15.104785714285715
4627680,17,151321,395,13,55,293000,80234809,740,226013.546478873,2,5,355,2,829,0.0,51.780204778157
659388,11,30865,463,10,62,696000,133260895,663,2019104.46969696,1,63,66,2,3937,0.0,4.501149425287356
2633578,50,121208,1130,10,37,69700,11149319,54,121188.25,1,63,92,1,140,0.1,175.52080344332853
10639637,31,488056,4714,13,57,101000,15073473,951,40520.0887096774,3,63,372,2,2319,0.0,487.8910891089109
4270662,221,21807,156,3,96,2350000,983445141,875,449266.852900868,0,16,2189,3,1813,0.25,0.934595744680851
4995469,794,108635,2140,6,47,414000,31063996,1728,147923.79047619,0,16,210,2,2932,0.166666666666666,26.757246376811594
13951689,13,191343,101,3,94,32000000,16909305227,246,2821509.29868179,9,16,5993,4,1259,0.0,0.5982625
8541231,50,237790,2120,3,45,2640000,359961066,93,846967.214117647,0,16,425,3,2941,0.0,9.0875
72786,711,4423,495,13,73,1040000,211809593,101,578714.734972677,0,63,366,3,2898,0.333333333333333,0.4728846153846154
1971966,12,54405,179,13,66,12200,2610936,590,49262.9433962264,2,63,53,1,1867,-0.375,447.4098360655738
3527206,18,0,1751,13,36,1580000,1018673547,611,703018.320910973,0,63,1449,3,3455,-0.05,0.11082278481012658
8932171,279,133353,11886,10,37,363000,159891910,899,197154.019728729,0,63,811,2,971,0.0,40.01074380165289
15485361,11,0,954,3,96,676000,222945908,599,258938.336817653,8,16,861,2,860,0.05,0.1411242603550296
153476,307,3829,816,14,70,589000,278727661,6,135173.453443258,0,16,2062,2,6082,0.125,0.7886247877758913
114236,1827,1135,83,3,64,8430000,2199926466,15,2152569.92759295,0,16,1022,3,4180,0.375,0.014448398576512455
70281,26,3220,370,5,73,27500,9658721,332,10145.7153361344,6,16,952,1,1916,0.5,13.054545454545455
759601,24,24112,1143,7,79,85800,34656986,25,114379.491749174,3,63,303,1,2065,0.0,29.434731934731932
1709485,1744,4499,129,3,51,829000,380940431,170,2426372.17197452,0,16,157,2,2836,-0.3125,0.5582629674306393
722551,22,28810,1606,3,68,181000,66981917,269,106659.103503184,5,43,628,2,1033,-0.2,16.80441988950276
7652308,10,420742,1237,14,47,123000,170393842,92,145635.762393162,3,63,1170,2,3937,0.375,343.0723577235772
302406,24,15844,229,5,58,641000,552412754,86,1100423.812749,0,17,502,2,2037,0.0,2.5074882995319814
2014741,56,81352,1476,7,83,85800,34656986,114,114379.491749174,3,63,303,1,2065,1.0,96.53613053613054
279700,180,7795,310,12,26,527000,185661018,14,871647.971830985,0,16,213,2,1577,-0.5,1.5379506641366223
13199397,22,485443,7255,10,27,106000,36847984,565,38584.2764397905,0,63,955,2,1102,0.0,464.80943396226417
152540,24,4339,173,10,33,10300,2496424,50,8001.35897435897,1,63,312,1,764,0.0,43.80582524271845
6789170,20,360386,2726,5,74,13000,8697887,261,31628.68,6,19,275,1,5826,0.0,2793.169230769231
220961,19,9660,191,3,95,181000,66981917,112,106659.103503184,9,16,628,2,1033,0.0,5.442541436464088
3541960,41,139046,1888,3,81,641000,552412754,552,1100423.812749,3,17,502,2,2037,0.0,21.986583463338533
1148458,601,10582,415,12,21,527000,185661018,36,871647.971830985,0,16,213,2,1577,1.0,2.0867172675521823
3336675,54,180519,4945,5,27,1030000,1037073438,446,864948.655546288,1,63,1199,3,4803,0.0,18.00621359223301
249952,25,9262,455,7,43,85800,34656986,85,114379.491749174,3,63,303,1,2065,0.1,11.325174825174825
27965013,31,1439157,7067,14,30,18500000,27462692256,120,21272418.4786986,0,63,1291,4,1322,0.0,7.817427027027027
18135106,22,506219,4112,5,28,162000,66970192,557,663071.207920792,0,20,101,2,2102,-0.6,315.0191358024691
484527,1828,3013,123,3,49,8430000,2199926466,57,2152569.92759295,0,16,1022,3,4180,-0.25,0.037200474495848165
262242,32,9680,365,7,57,85800,34656986,85,114379.491749174,3,63,303,1,2065,0.0,11.707459207459207
1088004,22,32039,811,3,91,9050,1953906,137,5647.12716763005,7,20,346,1,2194,1.0,362.98342541436466
2617700,16,88918,1272,10,96,177000,103075813,495,296194.864942528,5,63,348,2,612,0.0,50.95480225988701
4064381,33,148180,3959,3,111,18900,12577219,433,20788.7917355371,10,63,605,1,1741,0.0,804.968253968254
17987,409,547,40,8,18,363000,139831114,6,43493.3480559875,0,16,3215,2,3472,0.0,0.16170798898071626
6300949,19,419543,1593,10,97,177000,103075813,70,296194.864942528,6,63,348,2,612,0.0,237.92994350282487
307625,56,22989,209,2,34,1030000,1037073438,18,864948.655546288,0,63,1199,3,4803,0.0,2.252233009708738
1024000,15,22867,890,3,94,181000,66981917,133,106659.103503184,7,16,628,2,1033,1.0,13.125414364640884
1473688,19,86080,575,10,98,24300,7874630,656,28531.268115942,4,63,276,1,1153,1.0,356.60493827160496
8714353,1083,77879,6376,14,62,3630000,953915163,253,1773076.51115241,2,16,538,3,6286,0.45,2.3210743801652893
5692821,39,274542,5687,5,94,35600,7049576,443,12367.6771929824,7,63,570,1,1202,0.0,787.1601123595506
16103,518,711,42,8,45,363000,139831114,7,43493.3480559875,0,16,3215,2,3472,0.0909090909090909,0.2074380165289256
186369,180,6408,259,12,35,527000,185661018,11,871647.971830985,0,16,213,2,1577,0.0,1.2650853889943074
6537556,2843,61534,4177,3,51,24100000,6243566021,731,595135.451434562,0,16,10491,4,6832,0.35,0.2726597510373444
12393796,44,795521,6838,14,40,18500000,27462692256,700,21272418.4786986,0,63,1291,4,1322,-0.5,4.337075675675676
1046886,26,31594,599,7,76,85800,34656986,96,114379.491749174,4,63,303,1,2065,0.0,37.52097902097902
3245789,1234,48005,3552,2,40,4720000,733997658,186,3008187.12295082,0,16,244,3,5456,0.0,1.0923093220338984
10104360,240,86530,2418,7,51,96100,54842949,3231,7834707.0,0,63,7,1,4937,0.0,92.55775234131114
176696,1245,1395,39,10,49,4710000,1437734169,46,1252381.68031358,0,63,1148,3,3015,-0.25,0.030445859872611464
53355187,39,1099829,11750,14,60,3600000,1326581204,462,380873.156474303,3,17,3483,3,6705,0.0,30.877194444444445
275493,15,12140,274,10,97,177000,103075813,198,296194.864942528,4,63,348,2,612,0.0,7.013559322033898
1972915,61,54789,928,10,96,75200,35377626,46,721992.367346938,5,63,49,1,57,0.25,74.09175531914893
5681501,33,413877,7164,3,58,14400000,32286178806,167,11436832.7332624,0,16,2823,4,5250,0.0,2.9238958333333334
1092387,2245,7796,517,10,86,4150000,1061403856,198,5078487.34928229,1,63,209,3,3413,0.5625,0.20031325301204816
1321193,3486,43062,4469,10,65,2130000,430759257,21,634402.440353461,0,19,679,3,3608,0.0,2.2315023474178406
7068594,29,252463,3247,5,36,68000,14762418,250,83877.375,1,12,176,1,2575,1.0,376.0441176470588
2125583,51,90533,4046,2,39,492000,255719496,625,1074451.66386554,0,16,238,2,3064,0.2,19.22337398373984
9205109,17,205934,10930,3,94,93100,49954968,503,76618.0490797546,5,17,652,1,5837,0.0,232.93662728249194
456606,13,9411,103,10,80,11000,6878540,134,116585.423728813,4,63,59,1,1827,0.0,86.4909090909091
276718,45,19366,461,9,48,150000,50861712,89,77533.0975609756,0,63,656,2,6126,0.0,13.218
185311,15,0,32,5,81,391000,179135444,144,204026.701594533,0,63,878,2,906,-1.0,0.008184143222506395
510862,43,19841,648,7,49,85800,34656986,90,114379.491749174,3,63,303,1,2065,0.0,23.87995337995338
1503157,1829,5713,327,3,49,8430000,2199926466,122,2152569.92759295,0,16,1022,3,4180,-0.25,0.07164887307236062
717176,57,35020,672,2,35,624000,197463982,209,328559.03826955,1,19,601,2,6402,-1.0,5.7198717948717945
2078799,936,13209,505,12,82,224000,76065356,113,402462.201058201,1,17,189,2,1390,-0.2,6.1223214285714285
1135557,507,16086,2530,6,56,1120000,192298377,22,894411.055813953,0,16,215,3,1114,0.0,1.6621428571428571
4099365,30,119528,1304,10,60,27800,4943660,112,23653.8755980861,6,63,209,1,260,0.0,434.6474820143885
2710835,902,21309,602,12,21,527000,185661018,778,871647.971830985,0,16,213,2,1577,1.0,4.1576850094876665
637460,24,21449,550,7,60,85800,34656986,52,114379.491749174,3,63,303,1,2065,0.15,25.639860139860136
275080,60,11595,322,7,64,85800,34656986,127,114379.491749174,2,63,303,1,2065,-1.0,13.889277389277389
1231099,53,43441,1051,7,66,85800,34656986,122,114379.491749174,2,63,303,1,2065,0.0,51.85547785547786
545606,1638,4311,142,3,82,914000,352922593,32,140494.662818471,0,16,2512,2,3745,0.0833333333333333,0.48719912472647703
837313,24,21391,208,10,61,12400,3514598,141,58576.6333333333,3,63,60,1,286,0.0,174.18548387096774
1814128,883,15899,555,12,21,527000,185661018,403,871647.971830985,0,16,213,2,1577,1.0,3.122201138519924
15846663,312,223938,7528,7,40,42700,18322908,5458,796648.173913043,0,63,23,1,6229,0.0,542.0749414519906
6893380,40,112864,883,14,17,3600000,1326581204,99,380873.156474303,0,17,3483,3,6705,0.0,3.159638888888889
7497977,59,358829,8310,5,25,1030000,1037073438,496,864948.655546288,0,63,1199,3,4803,0.0,35.64456310679612
228844,40,8633,100,10,79,171000,67495587,93,674955.87,4,17,100,2,4578,0.4,5.107017543859649
8729604,4383,152192,24534,3,45,464000,77839633,408,997944.012820512,0,22,78,2,1200,-0.5,38.0875
3093307,30,62354,7948,2,97,3740,3130442,934,32272.5979381443,5,16,97,1,967,0.078125,1879.7326203208556
455198,1088,5903,372,3,70,127000,11244707,134,562235.35,0,16,20,2,516,0.0,4.940944881889764
314659,53,11130,632,7,64,85800,34656986,40,114379.491749174,4,63,303,1,2065,0.0,13.70862470862471
168275,44,6010,148,7,73,85800,34656986,25,114379.491749174,4,63,303,1,2065,0.0,7.177156177156177
78218135,20,879867,21064,5,64,624000,262085780,545,3691349.0140845,0,63,71,2,2028,0.0,144.37996794871793
663497,169,10068,437,12,29,527000,185661018,16,871647.971830985,0,16,213,2,1577,-0.5,1.993358633776091
609316,582,7444,198,8,68,5900000,2167528463,66,77202.1820416013,0,16,28076,3,6425,0.0,0.12952542372881357
3369987,131,33849,7386,8,69,8220000,4816904503,21,84979.7029620874,2,63,56683,3,6796,0.0,0.5016423357664234
10109124,10,159067,1650,10,52,57100,22242376,93,107451.091787439,2,63,207,1,722,0.0,281.4658493870403
9817018,24,371710,16710,3,87,32100,18432063,130,105326.074285714,8,17,175,1,1652,0.0,1210.031152647975
5225979,27,203683,5842,10,77,177000,103075813,489,296194.864942528,6,63,348,2,612,0.0,118.37570621468927
75342,60,4677,81,2,37,29000,11697036,220,42380.5652173913,0,16,276,1,5448,0.0,16.406896551724138
300629,1628,5208,264,3,38,1530000,493894559,35,1225544.81141439,0,63,403,3,3359,1.0,0.35764705882352943
1181313,1413,37757,2530,3,81,11800000,4345823039,33,1097984.5980293,0,17,3958,4,7058,0.0,0.34141525423728813
2031823,53,85719,1352,14,69,515000,129853292,257,318267.872549019,2,63,408,2,2180,-0.208333333333333,16.906990291262137
251472,130,1267,670,8,97,943000,1029174988,12,12494.5367002549,0,63,82370,2,2692,0.0,0.20540827147401908
22468698,16,482405,982,14,59,3600000,1326581204,704,380873.156474303,0,17,3483,3,6705,-0.0499999999999999,13.427416666666666
