Views,Likes,Engagement_Rate,Comments,Average_Video_Views,Hashtag_Count,Channel_Country,Video_Age,Weekly_Videos,Total_Videos_Posted,Title_Length,Month,Channel_Subscribers,Publish_Hour_Time,Title_Sentiment,Duration
22591339,631285,2.81971776883167,5727,5286472.59898477,6,87,400,0.42879353233830847,197,97,12,2150000,10,0.2,17
26353,826,3.57454559253215,116,27471.7684563758,0,86,9,0.4893267651888342,298,90,1,32700,10,0.5,1336
2361429,33946,1.50497855324043,1593,91760.3846153846,0,25,1613,0.026717557251908396,26,36,8,6210,9,0.0,267
17578,551,3.6693594265559204,94,204014.019920318,1,61,7,3.7067510548523206,251,58,1,123000,4,0.625,2449
3365976,144229,4.33092808742546,1549,298802.857364341,2,80,129,6.359154929577465,645,43,9,436000,18,0.0,31
20649,225,1.12354109157828,7,15580.4712514092,0,87,2245,1.8052042448030239,1774,36,11,200000,15,-0.5,137
6696838,458237,6.906886503749971,4306,3861071.45614035,0,87,123,0.4132145816072908,285,39,9,4920000,8,0.0,51
59174,707,1.24716936492378,31,29664.4608695652,0,86,1920,0.3194444444444444,115,15,10,7220,9,0.0,243
85305,2952,3.6152628802531996,132,49773.7553191489,0,32,56,3.76,94,98,11,102000,7,0.0,8463
60110322,2042134,3.5507745242156505,92248,2019104.46969696,2,87,419,0.11734823469646939,66,38,11,696000,13,0.0,17
8262623,517963,6.27303218360561,354,978974.36,7,86,480,0.4991443240159726,250,89,9,605000,11,0.0,41
495149,24637,5.39877895340594,2095,580550.41540832,0,86,55,6.042830540037244,3245,35,11,12500000,4,-1.0,401
147312,2515,1.7642826110568,84,4238.59507829977,0,86,1899,0.5247358712057689,447,23,11,25600,7,0.0,357
19558,1160,5.98220676960834,10,107867.77170418,0,86,320,1.7474715042542943,1555,40,3,1400000,8,-0.3,58
131490,4588,3.52574340254011,48,45598.6781376518,0,32,941,0.8227456578634309,494,28,6,3280,19,0.0,15
81247,723,0.910802860413307,17,735.655319148936,0,86,2658,0.349479498619078,235,38,10,1130,20,0.0,94
87893,7339,9.13838417166327,693,333005.386634844,1,84,5,1.6721778791334092,419,61,1,752000,17,0.0,2245
2310207,16269,0.848668539226138,3337,3756280.70495767,0,86,1092,17.44258453297623,7443,64,1,81100000,22,-0.366666666666666,986
79304,0,0.0,0,65850.4805217801,1,11,4,61.912816496998175,33884,83,1,3820000,11,0.136363636363636,1231
169351,2268,1.44079456277199,172,332723.051851851,0,32,118,0.2659724176752041,135,56,9,464000,2,0.0,341
218338,4019,2.27582921891745,950,64159.9431217888,1,85,10,57.68217054263566,13819,55,1,1140000,14,0.0,921
1504986,145935,9.82102159089852,1870,898477.030985915,5,86,48,0.8420874279905116,355,90,12,507000,9,0.0,41
144085,9641,6.7779435749731,125,11822.5,0,69,1051,0.4088200238379023,98,37,3,66800,3,0.0,834
9030157,457080,5.17322124078241,10070,2120500.47727272,0,86,1474,0.2011100228534117,88,33,1,2330000,11,0.0,303
10520148,19250,0.182982216599994,0,697285.126941855,0,85,904,2.564807285737518,2253,67,7,2960000,5,-0.131818181818181,614
6157409,51816,0.857276169245863,970,54911.8958333333,0,86,3659,0.146746251273839,144,41,1,54500,1,0.0,273
140045,9025,6.5864543539576506,199,9942.3,0,51,110,0.03501750875437719,20,55,10,3540,3,0.0,33
3527206,0,0.0496426916942191,1751,703018.320910973,0,85,611,2.9357452966714903,1449,36,5,1580000,5,-0.05,18
147741,6981,4.80299984432215,115,9504.90476190476,2,32,334,1.1424870466321244,63,69,2,2360,16,0.0,54
37735,1486,4.04399098979727,40,17980.4383561643,0,86,398,0.48620361560418646,219,55,12,42200,2,0.0,1170
129972,1650,1.28720032006893,23,39392.8820909065,0,5,5,185.2758369723435,72734,95,1,7950000,5,0.5,1323
2173421,237076,10.9610609265301,1154,786521.782156133,2,86,49,16.149228130360207,1345,44,12,828000,10,0.0,42
190295,10666,5.68328122126172,149,172748.525087514,0,86,400,2.299348409352242,857,22,12,813000,0,0.0,59
29193,2430,8.731545233446369,119,56941.8846153846,0,8,1578,0.2095567069660334,52,77,9,80500,5,0.0,565
4424825,308069,7.04296780098648,3570,570266.712328767,3,87,225,1.2936708860759494,146,67,6,374000,14,0.0,19
480801,36083,7.558636525298399,259,1407039.92152336,0,85,615,6.571505958829903,1733,25,5,1380000,12,0.0,60
2166933,34436,1.60484888088371,340,78911.4193548387,0,86,450,0.13883557261676263,31,48,10,7030,0,0.0,1387
1536370,30141,2.02646497913913,993,1658414.31472081,0,86,22,1.3388349514563107,394,56,12,2930000,3,-0.46875,1365
435801,19692,4.54542325510955,117,212723.187458745,0,32,205,5.315789473684211,1515,47,6,1650000,3,0.0,32
1872906,14820,0.8298868175978931,723,167251.259036144,0,87,171,1.3371691599539701,166,89,8,180000,23,0.55,4043
1243852,5402,0.44056688416306705,78,218607.571428571,0,86,140,0.5212765957446808,14,95,9,34500,14,0.666666666666666,6342
730903,43789,6.1811211610843,1389,17990.3692307692,1,87,260,0.5371900826446281,65,42,5,21800,5,0.0,267
450406,7663,1.74709040288095,206,55374.2531293463,1,32,1162,2.877644368210406,719,54,11,176000,20,0.0,476
1378131,64723,4.7742195770939,1072,1663844.63779527,3,87,198,2.0250569476082005,127,60,7,896000,12,0.0,14
286966,1921,0.7007798833311261,90,74195.1778656126,0,86,158,1.3529411764705883,253,53,8,118000,8,1.0,1644
56189,5641,10.0500097883927,6,114965.196078431,6,87,9,1.6301369863013697,51,98,1,16200,1,0.0,12
55429,3659,6.94041025455988,188,87925.8013986014,0,86,9,3.666666666666667,1430,78,1,338000,10,-0.1,324
7108541,345536,5.03359268800728,12279,1248097.40145985,8,87,273,0.33910891089108913,137,97,4,375000,6,0.0,33
906803,53263,6.34018634697944,4230,641283.277777777,0,32,13,9.692307692307692,36,87,1,667000,8,0.4,517
615629,13647,2.6402265000511598,2607,92456.7515131863,0,86,4457,9.687958115183246,9252,58,11,7580000,6,0.0,344
569643,12892,2.29336619602101,172,297022.75889328,0,86,277,1.3933910306845005,253,98,4,1090000,14,0.0,543
7970605,215064,2.7372451652038903,3111,145678.248062015,3,11,414,9.042918454935622,903,80,12,241000,6,0.2,47
